iter	Passed	Remaining
421	2365	3239
422	2370	3233
423	2375	3227
424	2379	3219
425	2386	3215
426	2390	3208
427	2395	3201
428	2400	3194
429	2406	3190
430	2411	3184
431	2417	3178
432	2423	3173
433	2427	3166
434	2433	3161
435	2438	3154
436	2444	3149
437	2450	3144
438	2455	3138
439	2461	3132
440	2467	3127
441	2472	3121
442	2477	3115
443	2483	3109
444	2488	3103
445	2494	3098
446	2498	3091
447	2504	3085
448	2510	3081
449	2516	3075
450	2521	3069
451	2527	3064
452	2533	3059
453	2538	3052
454	2543	3046
455	2547	3039
456	2552	3032
457	2558	3027
458	2562	3020
459	2568	3015
460	2575	3011
461	2581	3005
462	2588	3001
463	2593	2996
464	2599	2990
465	2605	2985
466	2610	2979
467	2617	2975
468	2623	2969
469	2629	2964
470	2634	2958
471	2641	2954
472	2646	2948
473	2652	2943
474	2657	2936
475	2663	2932
476	2668	2925
477	2674	2921
478	2678	2913
479	2684	2908
480	2689	2902
481	2695	2896
482	2701	2891
483	2706	2885
484	2713	2881
485	2718	2875
486	2722	2868
487	2727	2861
488	2731	2854
489	2739	2850
490	2744	2844
491	2749	2839
492	2754	2832
493	2760	2827
494	2766	2822
495	2771	2816
496	2777	2811
497	2783	2806
498	2789	2800
499	2794	2794
500	2800	2788
501	2805	2783
502	2810	2776
503	2815	2770
504	2821	2765
505	2826	2759
506	2833	2755
507	2838	2749
508	2844	2743
509	2850	2738
510	2855	2732
511	2862	2728
512	2867	2722
513	2873	2717
514	2879	2711
515	2884	2705
516	2891	2700
517	2895	2694
518	2902	2689
519	2906	2682
520	2911	2676
521	2916	2670
522	2921	2664
523	2926	2658
524	2932	2653
525	2938	2647
526	2942	2641
527	2948	2636
528	2953	2630
529	2959	2624
530	2964	2618
531	2968	2611
532	2974	2605
533	2979	2600
534	2985	2595
535	2991	2589
536	2996	2583
537	3001	2577
538	3007	2572
539	3012	2566
540	3018	2561
541	3024	2555
542	3030	2550
543	3035	2544
544	3042	2540
545	3048	2534
546	3053	2528
547	3059	2523
548	3064	2517
549	3071	2513
550	3076	2506
551	3082	2501
552	3087	2495
553	3092	2489
554	3096	2482
555	3101	2476
556	3105	2470
557	3111	2464
558	3116	2458
559	3123	2454
560	3130	2449
561	3136	2444
562	3142	2439
563	3148	2433
564	3153	2428
565	3159	2422
566	3164	2416
567	3171	2412
568	3175	2405
569	3182	2400
570	3187	2394
571	3193	2389
572	3197	2383
573	3203	2377
574	3208	2371
575	3214	2365
576	3219	2360
577	3225	2355
578	3233	2350
579	3240	2346
580	3245	2340
581	3251	2335
582	3256	2329
583	3262	2324
584	3268	2319
585	3276	2315
586	3281	2308
587	3288	2304
588	3293	2298
589	3299	2292
590	3304	2286
591	3309	2280
592	3315	2275
593	3319	2269
594	3325	2263
595	3330	2257
596	3335	2251
597	3339	2245
598	3344	2238
599	3348	2232
600	3354	2227
601	3360	2221
602	3366	2216
603	3372	2210
604	3376	2204
605	3382	2199
606	3388	2193
607	3394	2188
608	3400	2183
609	3407	2178
610	3412	2172
611	3418	2167
612	3423	2161
613	3431	2157
614	3436	2151
615	3442	2146
616	3446	2139
617	3451	2133
618	3457	2127
619	3462	2121
620	3468	2116
621	3472	2110
622	3477	2104
623	3483	2098
624	3488	2092
625	3492	2086
626	3497	2080
627	3502	2074
628	3507	2069
629	3512	2062
630	3516	2056
631	3522	2051
632	3528	2045
633	3532	2039
634	3538	2033
635	3542	2027
636	3548	2022
637	3553	2016
638	3559	2010
639	3564	2005
640	3572	2000
641	3577	1995
642	3584	1989
643	3589	1984
644	3594	1978
645	3599	1972
646	3605	1967
647	3611	1961
648	3617	1956
649	3622	1950
650	3627	1944
651	3633	1939
652	3639	1934
653	3645	1928
654	3650	1922
655	3657	1917
656	3663	1912
657	3668	1906
658	3672	1900
659	3677	1894
660	3684	1889
661	3690	1884
662	3696	1878
663	3702	1873
664	3707	1867
665	3713	1862
666	3718	1856
667	3725	1851
668	3731	1846
669	3738	1841
670	3744	1836
671	3749	1830
672	3754	1824
673	3759	1818
674	3764	1812
675	3768	1806
676	3775	1801
677	3779	1794
678	3784	1789
679	3790	1783
680	3795	1777
681	3801	1772
682	3807	1767
683	3813	1761
684	3818	1755
685	3823	1750
686	3829	1744
687	3835	1739
688	3839	1732
689	3844	1727
690	3850	1721
691	3856	1716
692	3862	1711
693	3868	1705
694	3874	1700
695	3879	1694
696	3884	1688
697	3888	1682
698	3895	1677
699	3900	1671
700	3907	1666
701	3913	1661
702	3920	1656
703	3924	1650
704	3930	1644
705	3934	1638
706	3940	1633
707	3945	1627
708	3949	1621
709	3955	1615
710	3959	1609
711	3965	1604
712	3971	1598
713	3976	1592
714	3982	1587
715	3988	1581
716	3993	1576
717	3999	1570
718	4004	1565
719	4008	1559
720	4014	1553
721	4020	1548
722	4027	1543
723	4033	1537
724	4039	1532
725	4044	1526
726	4050	1521
727	4055	1515
728	4061	1509
729	4067	1504
730	4074	1499
731	4080	1494
732	4087	1488
733	4091	1482
734	4097	1477
735	4102	1471
736	4107	1465
737	4113	1460
738	4120	1455
739	4125	1449
740	4131	1444
741	4137	1438
742	4144	1433
743	4148	1427
744	4154	1421
745	4160	1416
746	4167	1411
747	4172	1405
748	4179	1400
749	4185	1395
750	4190	1389
751	4197	1384
752	4202	1378
753	4207	1372
754	4214	1367
755	4219	1361
756	4225	1356
757	4231	1350
758	4235	1344
759	4240	1339
760	4245	1333
761	4250	1327
762	4255	1321
763	4261	1316
764	4267	1310
765	4271	1304
766	4276	1299
767	4283	1293
768	4289	1288
769	4294	1282
770	4298	1276
771	4304	1271
772	4310	1265
773	4314	1259
774	4320	1254
775	4326	1249
776	4333	1243
777	4338	1238
778	4343	1232
779	4349	1226
780	4354	1221
781	4359	1215
782	4365	1209
783	4370	1204
784	4375	1198
785	4380	1192
786	4387	1187
787	4392	1181
788	4398	1176
789	4404	1170
790	4409	1165
791	4413	1159
792	4420	1153
793	4424	1148
794	4430	1142
795	4436	1136
796	4440	1131
797	4446	1125
798	4450	1119
799	4456	1114
800	4461	1108
801	4467	1103
802	4474	1097
803	4480	1092
804	4485	1086
805	4492	1081
806	4496	1075
807	4502	1069
808	4506	1063
809	4512	1058
810	4517	1052
811	4523	1047
812	4528	1041
813	4535	1036
814	4541	1030
815	4548	1025
816	4552	1019
817	4558	1014
818	4563	1008
819	4570	1003
820	4576	997
821	4583	992
822	4589	986
823	4594	981
824	4600	975
825	4606	970
826	4612	964
827	4618	959
828	4624	953
829	4630	948
830	4635	942
831	4641	937
832	4646	931
833	4652	926
834	4658	920
835	4664	915
836	4670	909
837	4678	904
838	4683	898
839	4690	893
840	4695	887
841	4701	882
842	4706	876
843	4712	870
844	4718	865
845	4722	859
846	4728	854
847	4732	848
848	4739	842
849	4744	837
850	4751	831
851	4756	826
852	4763	820
853	4768	815
854	4774	809
855	4779	804
856	4786	798
857	4792	793
858	4799	787
859	4805	782
860	4810	776
861	4816	771
862	4821	765
863	4829	760
864	4834	754
865	4840	748
866	4845	743
867	4850	737
868	4857	732
869	4863	726
870	4867	720
871	4872	715
872	4877	709
873	4883	704
874	4889	698
875	4893	692
876	4898	687
877	4903	681
878	4910	675
879	4917	670
880	4922	664
881	4928	659
882	4935	653
883	4940	648
884	4946	642
885	4951	637
886	4956	631
887	4961	625
888	4967	620
889	4973	614
890	4979	609
891	4984	603
892	4990	598
893	4995	592
894	5001	586
895	5007	581
896	5014	575
897	5019	570
898	5024	564
899	5029	558
900	5036	553
901	5043	547
902	5049	542
903	5055	536
904	5060	531
905	5067	525
906	5071	519
907	5078	514
908	5083	508
909	5088	503
910	5094	497
911	5099	492
912	5105	486
913	5110	480
914	5118	475
915	5123	469
916	5129	464
917	5134	458
918	5139	452
919	5144	447
920	5149	441
921	5155	436
922	5161	430
923	5169	425
924	5173	419
925	5179	413
926	5184	408
927	5189	402
928	5197	397
929	5202	391
930	5208	386
931	5212	380
932	5217	374
933	5223	369
934	5231	363
935	5236	358
936	5242	352
937	5247	346
938	5252	341
939	5257	335
940	5261	329
941	5267	324
942	5273	318
943	5276	313
944	5282	307
945	5286	301
946	5292	296
947	5297	290
948	5303	284
949	5306	279
950	5311	273
951	5316	268
952	5321	262
953	5327	256
954	5332	251
955	5337	245
956	5343	240
957	5349	234
958	5354	228
959	5359	223
960	5365	217
961	5371	212
962	5375	206
963	5380	200
964	5386	195
965	5391	189
966	5398	184
967	5404	178
968	5411	173
969	5418	167
970	5423	161
971	5429	156
972	5434	150
973	5440	145
974	5446	139
975	5451	134
976	5457	128
977	5462	122
978	5469	117
979	5474	111
980	5480	106
981	5485	100
982	5490	94
983	5496	89
984	5502	83
985	5507	78
986	5512	72
987	5517	67
988	5524	61
989	5529	55
990	5534	50
991	5538	44
992	5544	39
993	5548	33
994	5555	27
995	5559	22
996	5566	16
997	5571	11
998	5578	5
999	5582	0
